Name,Usage,Lat,Lon
台北市行忠路28巷,1,25.0648653,121.5777356
台北市行忠路66巷,1,25.0658583,121.5805245
台北市行忠路72巷,0.71,25.0665453,121.5815976
台北市行善路,1,25.0595436,121.5811232
台北市行善路111巷,0.92,25.0577398,121.5799587
台北市行善路168巷,1,25.0588128,121.5785587
台北市行善路417巷,0.83,25.0646047,121.586886
台北市行善路48巷,0.9,25.0574702,121.5751999
台北市行善路59巷20弄,0.92,25.0577047,121.5792278
台北市行善路59巷40弄,0.92,25.0572028,121.579549
台北市行愛路,0.86,25.06377,121.5803775
台北市行愛路141巷,1,25.0647907,121.5812885
台北市行愛路77巷,0.88,25.0632847,121.5823857
台北市行愛路78巷,1,25.0621923,121.5805702
台北市西昌街,0.59,25.0397495,121.5006618
台北市西園路2段261巷20弄,0,25.0247702,121.4928638
台北市西園路2段320巷55弄,0.5,25.02788,121.4915233
台北市西園路2段320巷73弄,1,25.0278263,121.491052
台北市西園路2段372巷,0.57,25.0263051,121.4904868
台北市西園路一段,0.74,25.0367527,121.4993738
台北市西園路二段,0.95,25.02803,121.4949842
台北市西寧北路(大車),0.95,25.0568088,121.5088075
台北市西寧北路Y00,0.73,25.0527032,121.5086044
台北市西寧南路A,1,25.0432344,121.5060751
台北市西寧南路B,0.9,25.0432344,121.5060751
台北市西藏路125巷,0.84,25.0273195,121.5029114
台北市西藏路199巷,0.78,25.0278208,121.4998255
台北市西藏路A,-99,25.0293385,121.4980675
台北市西藏路B,0.89,25.0293385,121.4980675
台北市西藏路C,0.86,25.0293385,121.4980675
台北市克強路,0.68,25.1089066,121.5238334
台北市吳興街,0.38,25.026337,121.5646759
台北市吳興街220巷,0.65,25.0264274,121.5615266
台北市吳興街284巷30弄,0.75,25.0228667,121.5626862
台北市吳興街394巷,0.83,25.0244748,121.56629
台北市吳興街600巷83弄,0.14,25.0185995,121.5712728
台北市吳興街B,0.75,25.026337,121.5646759
台北市秀明路1段,0.43,24.9908224,121.5668956
台北市秀明路2段,0,24.9904866,121.5768372
台北市育英街,0,24.9912256,121.5385736
台北市辛亥路1段34巷,1,25.019771,121.5300882
台北市辛亥路1段77巷,1,25.0206895,121.5307601
台北市辛亥路7段,0.06,24.9837411,121.5541616
台北市辛亥路一段,0.78,25.0206895,121.5307601
台北市辛亥路二段A,0.32,25.0229081,121.537914
台北市辛亥路二段B,0.82,25.0229081,121.537914
台北市辛亥路三段157巷,0.62,25.01797,121.5498878
台北市辛亥橋下,0,25.0224124,121.5336718
台北市和平西路一段,1,25.0266197,121.5184934
台北市和平西路二段,0.82,25.0304487,121.5094397
台北市和平西路二段104巷,0.25,25.0307499,121.5079987
台北市和平西路三段,0.82,25.0352602,121.4973745
台北市和平東路1段104巷,0,25.0263762,121.5249232
台北市和平東路1段141巷,0.95,25.0273623,121.5304688
台北市和平東路2段107巷,1,25.0262869,121.5404386
台北市和平東路2段175巷,0.45,25.02632,121.5417734
台北市和平東路2段18巷B,0.91,25.0242498,121.5359124
台北市和平東路2段311巷43弄,1,25.0256077,121.5461146
台北市和平東路3段308巷,0.67,25.0195575,121.5555032
台北市和平東路3段308巷15弄,1,25.0193566,121.5562094
台北市和平東路3段308巷31弄,0.82,25.0195295,121.5558925
台北市和平東路3段341巷,0,25.021265,121.5575258
台北市和平東路3段391巷,0.64,25.0203397,121.5585357
台北市和平東路3段391巷20弄,0.75,25.0210234,121.5589051
台北市和平東路3段406巷,0,25.0184251,121.5578475
